STAGE,DATE,PENS,PENS_HOME_SCORE,PENS_AWAY_SCORE,TEAM_NAME_HOME,TEAM_NAME_AWAY,TEAM_HOME_SCORE,TEAM_AWAY_SCORE,POSSESSION_HOME,POSSESSION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,PREDICTION_TEAM_HOME_WIN,PREDICTION_DRAW,PREDICTION_TEAM_AWAY_WIN,LOCATION
 Group stage: Matchday 5 ,2021-11-25,False,False,False,Man City,Paris,2,1,0.42,0.58,11,21,8,4,0.42,0.58,0.37,0.09,0.63,City of Manchester Stadium
 Group stage: Matchday 5 ,2021-11-25,False,False,False,Liverpool,FC Porto,1,0,0.47,0.53,12,19,5,1,0.41,0.59,0.4,0.04,0.6,Anfield
 Group stage: Matchday 5 ,2021-11-24,False,False,False,Besiktas,Ajax,1,2,0.42,0.58,13,30,2,3,0.5,0.5,0.37,0.09,0.63,Be?ikta? Park
 Group stage: Matchday 5 ,2021-11-24,False,False,False,Inter,Shakhtar Donetsk,2,0,0.49,0.51,7,27,4,8,0.39,0.61,0.37,0.09,0.63,San Siro
 Group stage: Matchday 5 ,2021-11-24,False,False,False,Malmo,Zenit,1,1,0.37,0.63,20,19,9,4,0.48,0.52,0.43,0.01,0.57,Malmö New Stadium
 Group stage: Matchday 5 ,2021-11-24,False,False,False,Young Boys,Atalanta,3,3,0.38,0.62,12,24,5,6,0.49,0.51,0.42,0.03,0.58,Stadion Wankdorf-Bern
 Group stage: Matchday 5 ,2021-11-24,False,False,False,Lille,Salzburg,1,0,0.5,0.5,33,17,9,4,0.49,0.51,0.41,0.02,0.59,Stade Pierre Mauroy-Villeneuve d'Ascq
 Group stage: Matchday 5 ,2021-11-24,False,False,False,Sevilla,Wolfsburg,2,0,0.4,0.6,35,10,2,2,0.47,0.53,0.47,0.05,0.53,Ramon Sanchez Pizjuan
 Group stage: Matchday 5 ,2021-11-24,False,False,False,Chelsea,Juventus,4,0,0.45,0.55,18,9,4,1,0.42,0.58,0.39,0.06,0.61,Stamford Bridge
 Group stage: Matchday 5 ,2021-11-25,False,False,False,Barcelona,Benefica,0,0,0.46,0.54,12,28,3,3,0.39,0.61,0.46,0.07,0.54, Camp Nou 
 Group stage: Matchday 5 ,2021-11-25,False,False,False,Villarreal,Man United,0,2,0.36,0.64,25,31,5,8,0.37,0.63,0.38,0.07,0.62,Santiago Bernabeu
 Group stage: Matchday 5 ,2021-11-25,False,False,False,Dynamo Kyiv,Bayern,1,2,0.49,0.51,8,8,4,4,0.4,0.6,0.45,0.05,0.55,Ramon Sanchez Pizjuan
 Group stage: Matchday 4 ,2021-07-11,False,False,False,Liverpool,Atlético de Madrid,2,0,0.41,0.59,24,10,9,6,0.35,0.65,0.43,0.07,0.57,Ramon Sanchez Pizjuan
 Group stage: Matchday 4 ,2021-07-11,False,False,False,Sporting CP,Besiktas,4,0,0.47,0.53,8,14,8,5,0.48,0.52,0.47,0.04,0.53,Allianz Arena
 Group stage: Matchday 4 ,2021-07-11,False,False,False,Man City,Club Brugge,4,1,0.45,0.55,23,13,7,9,0.47,0.53,0.49,0.06,0.51,Santiago Bernabeu
 Group stage: Matchday 4 ,2021-07-11,False,False,False,Leipzig,PAris,2,2,0.46,0.54,31,23,4,4,0.49,0.51,0.42,0.05,0.58,City of Manchester Stadium
 Group stage: Matchday 4 ,2021-07-11,False,False,False,Sheriff,Inter,1,3,0.37,0.63,25,30,5,2,0.48,0.52,0.44,0.08,0.56,Be?ikta? Park
 Group stage: Matchday 4 ,2021-07-11,False,False,False,Dortmund,Ajax,1,3,0.39,0.61,23,17,2,9,0.45,0.55,0.45,0.02,0.55,Signal Iduna Park
 Group stage: Matchday 4 ,2021-07-11,False,False,False,Milan,FC Porto,1,1,0.5,0.5,6,18,1,6,0.48,0.52,0.43,0.01,0.57,Estádio do Sport Lisboa e Benfica
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Real Madrid,Shakhtar Donetsk,2,1,0.38,0.62,9,27,2,4,0.41,0.59,0.38,0.01,0.62,San Siro
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Sevilla,Lille,1,2,0.49,0.51,34,30,1,7,0.45,0.55,0.44,0.09,0.56,Stamford Bridge
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Villareal,Young Boys,2,0,0.48,0.52,16,13,4,2,0.36,0.64,0.48,0.03,0.52,Stamford Bridge
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Atalanta,Man United,2,2,0.37,0.63,31,30,2,1,0.47,0.53,0.48,0.1,0.52,Signal Iduna Park
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Dynamo Kyiv,Barcelona,0,1,0.43,0.57,23,21,4,3,0.49,0.51,0.43,0.09,0.57,Red Bull Arena Salzburg
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Bayern,Benefics,5,2,0.49,0.51,9,32,6,1,0.46,0.54,0.49,0.09,0.51,Old Trafford
 Group stage: Matchday 4 ,2021-08-11,False,False,False,juventus,Zenit,4,2,0.41,0.59,25,24,7,6,0.44,0.56,0.47,0.1,0.53,Old Trafford
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Wolfsburg,Salzburg,2,1,0.49,0.51,35,7,2,9,0.46,0.54,0.41,0.09,0.59,Old Trafford
 Group stage: Matchday 4 ,2021-08-11,False,False,False,Malmo,Chelesa,0,1,0.49,0.51,10,14,5,4,0.44,0.56,0.42,0.07,0.58,Signal Iduna Park
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Chelsea,Malmo,4,0,0.43,0.57,26,24,2,5,0.49,0.51,0.37,0.1,0.63,Signal Iduna Park
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Zenit,Juventus,0,1,0.39,0.61,27,17,5,1,0.46,0.54,0.43,0.08,0.57,Estádio do Sport Lisboa e Benfica
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Benfica,Bayern,0,4,0.4,0.6,17,6,2,3,0.43,0.57,0.47,0.1,0.53,Red Bull Arena Salzburg
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Lille,Sevilla,0,0,0.39,0.61,14,35,5,2,0.43,0.57,0.47,0.07,0.53,Red Bull Arena Salzburg
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Young Boys,Villarreal,1,4,0.43,0.57,14,27,2,4,0.37,0.63,0.45,0.08,0.55,Red Bull Arena Salzburg
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Man United,Atalanta,3,2,0.45,0.55,25,25,5,4,0.43,0.57,0.36,0.04,0.64,Signal Iduna Park
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Barcelona,Dynamo Hyiv,1,0,0.37,0.63,29,27,2,3,0.41,0.59,0.4,0.05,0.6,Signal Iduna Park
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Saizburg,Wolfsburg,3,1,0.43,0.57,28,19,5,7,0.37,0.63,0.39,0.02,0.61,Signal Iduna Park
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Inter,Sheriff,3,1,0.48,0.52,27,30,2,6,0.45,0.55,0.38,0.05,0.62,Stamford Bridge
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Shakhtar Donetsk,Real Madrid,0,5,0.4,0.6,23,10,5,4,0.39,0.61,0.36,0.04,0.64,Signal Iduna Park
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Ajax,Dortmund,4,0,0.5,0.5,32,33,2,9,0.47,0.53,0.36,0.08,0.64,Parc des Princes
 Group stage: Matchday 3 ,2021-10-21,False,False,False,FC Porto,Milan,1,0,0.48,0.52,15,23,5,4,0.36,0.64,0.49,0.07,0.51,Red Bull Arena Salzburg
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Atlético de Madrid,Liverpool,2,3,0.36,0.64,13,13,2,5,0.36,0.64,0.43,0.08,0.57,Parc des Princes
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Paris,Leipzig,3,2,0.35,0.65,11,34,5,1,0.48,0.52,0.42,0.02,0.58,Estádio do Sport Lisboa e Benfica
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Besiktas,Sporting CP,1,4,0.43,0.57,20,32,2,2,0.45,0.55,0.4,0.02,0.6,Estádio do Sport Lisboa e Benfica
 Group stage: Matchday 3 ,2021-10-21,False,False,False,Club Brugge,Man City ,1,5,0.39,0.61,8,30,5,2,0.37,0.63,0.4,0.05,0.6,Red Bull Arena Salzburg
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Juventus,Chelsea,1,0,0.46,0.54,16,17,4,7,0.35,0.65,0.48,0.04,0.52,Estadio do Dragao
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Man United,Villarreal,2,1,0.35,0.65,23,9,1,2,0.44,0.56,0.36,0.04,0.64,Estadio do Dragao
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Beyern,Dynamo Kyiv,5,0,0.41,0.59,24,20,7,6,0.35,0.65,0.43,0.1,0.57,Parc des Princes
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Benfica,Barcelona,3,0,0.42,0.58,6,26,7,2,0.41,0.59,0.49,0.1,0.51,Signal Iduna Park
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Wolfsburg,Sevilla,1,1,0.41,0.59,26,15,9,7,0.39,0.61,0.38,0.03,0.62,Signal Iduna Park
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Salzburg,Lille,2,1,0.49,0.51,27,16,8,6,0.49,0.51,0.43,0.06,0.57,Jan Breydel Stadium
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Zenit,Malo,4,0,0.44,0.56,28,29,1,5,0.43,0.57,0.36,0.1,0.64,Red Bull Arena Salzburg
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Atalanta,Young Boys,1,0,0.49,0.51,12,14,6,4,0.43,0.57,0.47,0.07,0.53,Stamford Bridge
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Dortmund,Sporting CP,1,0,0.41,0.59,14,11,2,6,0.44,0.56,0.39,0.09,0.61,Red Bull Arena Salzburg
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Paris,Man City ,2,0,0.35,0.65,11,23,7,9,0.41,0.59,0.38,0.07,0.62,Red Bull Arena Salzburg
 Group stage: Matchday 2 ,2021-09-30,False,False,False,FC Porto,Liverpool,1,5,0.46,0.54,12,25,1,7,0.36,0.64,0.36,0.02,0.64,Red Bull Arena Salzburg
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Real Madrid,Sheriff,1,2,0.36,0.64,9,28,6,4,0.42,0.58,0.44,0.01,0.56,Stamford Bridge
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Laipzig,Club Brugge,1,2,0.42,0.58,7,26,8,1,0.37,0.63,0.45,0.01,0.55,Santiago Bernabeu
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Milan,Atlético de Madrid,1,2,0.46,0.54,6,17,7,5,0.41,0.59,0.36,0.02,0.64,Ramon Sanchez Pizjuan
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Shakhtar Donetsk,Inter,0,0,0.38,0.62,27,34,8,1,0.37,0.63,0.36,0.1,0.64,Be?ikta? Park
 Group stage: Matchday 2 ,2021-09-30,False,False,False,Ajax,Besiktas,2,0,0.43,0.57,19,16,5,5,0.45,0.55,0.39,0.02,0.61,Be?ikta? Park
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Sporting CP,Ajax,1,5,0.37,0.63,12,30,7,5,0.37,0.63,0.38,0.03,0.62,José Alvalade
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Atlético de Madrid,FC Porto,0,0,0.45,0.55,10,14,5,6,0.48,0.52,0.4,0.07,0.6,Be?ikta? Park
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Club Brugge,Paris,1,1,0.38,0.62,26,13,7,4,0.41,0.59,0.36,0.07,0.64,Red Bull Arena Salzburg
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Man City,Leipzig,6,3,0.48,0.52,28,21,4,5,0.42,0.58,0.38,0.03,0.62,Signal Iduna Park
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Liverpool ,Milan,3,2,0.44,0.56,25,26,6,9,0.38,0.62,0.47,0.09,0.53,Be?ikta? Park
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Inter ,Real Madrid,0,1,0.49,0.51,7,33,4,5,0.4,0.6,0.46,0.02,0.54,Red Bull Arena Salzburg
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Sheriff ,Shakhtar Dopetsk,2,0,0.42,0.58,25,25,2,9,0.4,0.6,0.38,0.01,0.62,Stamford Bridge
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Besiktas,Dortmund,1,2,0.43,0.57,6,33,4,7,0.45,0.55,0.45,0.03,0.55,Santiago Bernabeu
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Dynamo Kyiv,Benfica,0,0,0.44,0.56,8,17,7,5,0.46,0.54,0.42,0.03,0.58,Red Bull Arena Salzburg
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Barcelona,Bayern,0,3,0.48,0.52,17,30,8,9,0.45,0.55,0.45,0.08,0.55,Ramon Sanchez Pizjuan
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Lille,Wolfsburg,0,0,0.48,0.52,10,10,6,7,0.36,0.64,0.4,0.01,0.6,Ramon Sanchez Pizjuan
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Malmo,Juventus,0,3,0.44,0.56,31,23,2,5,0.42,0.58,0.49,0.08,0.51,Estádio do Sport Lisboa e Benfica
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Chelsea,Zenit,1,0,0.39,0.61,22,5,8,8,0.46,0.54,0.45,0.1,0.55,Estádio do Sport Lisboa e Benfica
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Villarreal,Atalanta,2,2,0.48,0.52,20,18,8,5,0.47,0.53,0.41,0.01,0.59,Be?ikta? Park
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Young Boys,Man United,2,1,0.48,0.52,7,17,7,8,0.49,0.51,0.37,0.06,0.63,Be?ikta? Park
 Group stage: Matchday 1 ,2021-09-16,False,False,False,Sevilla,Salzvurg,1,1,0.44,0.56,32,18,8,5,0.36,0.64,0.46,0.05,0.54,Estadio do Dragao
